title,description,Price,image_tag,Category,Item_status
Anti Gravity Hat,Ruin a gentleman's day by making his hat fly away!,1.5,http://vignette4.wikia.nocookie.net/harrypotter/images/0/03/Anti_Gravity_Hat.gif/revision/latest/scale-to-width-down/700?cb=20090813160225,Joke Products,0
Aviatomobile,"A burgundy toy car, bewitched to take off. Inspired by Ron's misadventures getting to school his second year. ",1.5,http://vignette3.wikia.nocookie.net/harrypotter/images/9/91/AviatomobileBox.jpg/revision/latest/scale-to-width-down/180?cb=20111024074034,Joke Products,0
Bang Bang Boggart Banger,You'll get your bang for your buck on this product!,3,http://vignette3.wikia.nocookie.net/harrypotter/images/a/ac/BangBangBogartBanger.jpg/revision/latest?cb=20111024075538,Explosive Enterprises,0
Bombtastic Bomb,Disastrous Delights!,3,http://vignette4.wikia.nocookie.net/harrypotter/images/d/de/Bombtastic_Bomb.jpg/revision/latest?cb=20091228215226,Explosive Enterprises,0
Box 'O' Rockets,It's explosive!,3,http://vignette3.wikia.nocookie.net/harrypotter/images/2/2b/Box_%27O%27_Rockets_%28Weasleys%27_Wizard_Wheezes_product%29.JPG/revision/latest?cb=20091118072230,Explosive Enterprises,0
Boxing Telescope,"When it is squeezed, a tiny fist on a spring erupts from its end and lands a punch, accompanied by a puff of black smoke and a loud bang.[1] The purple bruise caused by the telescope does not fade by itself, and cannot be healed with standard remedies such as can be found in The Healer's Helpmate.[1] The only known means to remove is another Weasleys' Wizard Wheezes product, Bruise removal paste.[1]",1.5, http://vignette2.wikia.nocookie.net/harrypotter/images/1/12/BoxingTelescope.jpg/revision/latest?cb=20091211001334,Joke Products,0
Broom Broom Kit,"The Broom Broom kit was a broomstick-modifying kit. It promises to bling up your broom and includes a pointed cap for the end of the handle, a pair of fins that slid onto the handle, a tailfin that was attached on top of the bristles, and a rocket booster for the back underside.",1.5,http://vignette4.wikia.nocookie.net/harrypotter/images/e/e4/BroomBroomkit.jpg/revision/latest/scale-to-width-down/300?cb=20111031234910,Joke Products,0
Bruise Removal Paste,a thick yellow paste guaranteed to remove any bruise within an hour.,1.5,http://17374-presscdn-0-15.pagely.netdna-cdn.com/wp-content/uploads/2014/07/homemade-yellow-mustard-recipe.jpg,Joke Products,0
Calamity Lotion,"In the Muggle world, this would seem to have a parallel in calamine lotion, an anti-itching agent often used to treat conditions like sunburn, rashes, poison ivy and insect bites.",6.75,http://vignette1.wikia.nocookie.net/harrypotter/images/9/97/Calamitylotion.jpg/revision/latest?cb=20111024055339,Wonder Witch,0
Canary Creams,Temporarily transfigures the eater into a canary.,20.44,http://vignette3.wikia.nocookie.net/harrypotter/images/3/3f/Canary_Cream.jpg/revision/latest/scale-to-width-down/699?cb=20100615021357,Sweets,0
Candy In a Can,This product contains candy,20.44,http://vignette1.wikia.nocookie.net/harrypotter/images/7/7a/Candy_in_can.gif/revision/latest?cb=20090813161511,Sweets,0
Comb-a-Chameleon,"A hairbrush that magically changes your hairstyle! Made out of pure Romanian celanese acetate, it can be used by either gender or any age group. ",1.5,http://vignette4.wikia.nocookie.net/harrypotter/images/9/94/Comb-a-chameleon.jpg/revision/latest/scale-to-width-down/700?cb=20110619024947,Joke Products,0
Creepy Crawlies,These creepy crawlies will scare anyone! Purchase if you dare. ,1.5,http://vignette3.wikia.nocookie.net/harrypotter/images/1/18/Creepy_Crawlies.jpg/revision/latest?cb=20090731162057,Joke Products,0
Crush Blush,One of our many love potions!,6.75,http://vignette2.wikia.nocookie.net/harrypotter/images/2/2b/Crushblush.jpg/revision/latest?cb=20111024053304,Wonder Witch,0
Crystal Incantation Comet,A rocket like no other.,3,http://vignette3.wikia.nocookie.net/harrypotter/images/9/90/CrystalIncantationComet.jpg/revision/latest?cb=20111024082835,Explosive Enterprises,0
Cupid Crystals,A sure way to get your man!,6.75,http://vignette3.wikia.nocookie.net/harrypotter/images/9/97/CupidCrystals.jpg/revision/latest?cb=20090725164008,Wonder Witch,0
Decoy Detonators,"When dropped they run away and explode out of sight, giving the person a diversion if necessary.",6.73,http://vignette2.wikia.nocookie.net/harrypotter/images/3/3b/Decoy_Detonators_%28Weasleys%27_Wizard_Wheezes_product%29.JPG/revision/latest/scale-to-width-down/700?cb=20091118202930,Defence Objects,0
Demon Box,Behold the fantabulous demon wonderbox and all that lives inside. Do not feed anything that comes out of the box after midnight as they tend to multiply and savage anyone who comes in there [sic] way. The fantabulous demon wonderbox does not promote the blindfolding of horses.,1.5,http://vignette2.wikia.nocookie.net/harrypotter/images/8/83/Demon_box.gif/revision/latest/scale-to-width-down/700?cb=20090813160932,Joke Products,0
